Date,Angel,Baker Street,Euston,Great Portland Street,Marylebone,Old Street,Paddington,Warren Street,Aldgate,Aldgate East,Bank,Bethnal Green,Liverpool Street,Monument,Moorgate,Tower Gateway,Tower Hill,Whitechapel,Barbican,Chancery Lane,Euston Square,Farringdon,Goodge Street,Holborn,Oxford Circus,Russell Square,St Pauls,Tottenham Court Road,Bayswater,Bond Street,Gloucester Road,Knightsbridge,Lancaster Gate,Marble Arch,Notting Hill Gate,Queensway,Regents Park,South Kensington,Covent Garden,Green Park,High Street Kensington,Hyde Park Corner,Leicester Square,Piccadilly Circus,Sloane Square,St James's Park,Victoria,Westminster,Blackfriars,Cannon Street,Charing Cross,Embankment,Mansion House,Pimlico,Southwark,Temple,Vauxhall,Waterloo,Canary Wharf,London Bridge,Stratford
2021-03-16,3979.766666666667,6640.866666666667,6876.2,2262.9333333333334,2016.7,5508.166666666667,9781.766666666666,6629.933333333333,2125.6,2898.5666666666666,4856.366666666667,5305.166666666667,,,,,,,2128.0333333333333,2792.9666666666667,3518.9,5275.7,1885.6333333333334,,,,,,875.0,8350.366666666667,3357.3,3714.1,1467.7,2936.766666666667,4732.966666666666,,,,1224.5333333333333,7346.8,,,,,,,,,2570.9666666666667,1580.7333333333333,2617.9666666666667,3458.2,1366.8666666666666,,,,,,10627.566666666668,20000.866666666665,19394.6
2021-03-17,4055.233333333333,6759.833333333333,6967.5,2293.8,2050.2,5576.666666666667,9905.9,6676.6,2144.4666666666667,2927.2,4913.166666666667,5424.2,,,,,,,2128.4666666666667,2794.9,3469.4666666666667,5474.8,1579.5666666666666,,,,,,876.6666666666666,8446.266666666666,3429.4333333333334,3754.0,1499.0333333333333,2983.2,4805.033333333334,,,,1177.2333333333333,7116.9,2936.8333333333335,,,,,,,,2599.9333333333334,1595.6,2653.766666666667,3496.5,1385.4,,,,,,10717.566666666668,20238.166666666668,19585.6
2021-03-18,4117.666666666667,6861.366666666667,7059.833333333333,2319.7,2078.1,5640.433333333333,10018.033333333333,6712.433333333333,2157.9,2868.766666666667,4698.366666666667,5581.733333333334,,,,,,,2154.9,2811.733333333333,3488.633333333333,5529.933333333333,1607.2,,,,,,883.4,8527.7,3497.8333333333335,3782.633333333333,1515.9,3015.2,4863.533333333334,,,,1187.4,7193.633333333333,3005.266666666667,,,,,,,,2629.7,1572.8666666666666,2655.7,3612.4,1334.5666666666666,,,,,,10802.4,20475.766666666666,19759.933333333334
2021-03-19,4192.566666666667,6977.166666666667,7167.9,2345.733333333333,2105.7,5705.866666666667,10160.333333333334,6768.0,2155.133333333333,2851.0333333333333,4698.566666666667,5417.966666666666,,,,,,,2175.1666666666665,2836.3,3514.0666666666666,5573.833333333333,1618.2333333333333,,,,,,891.4,8604.7,3569.3333333333335,3816.9333333333334,1539.1,3059.0333333333333,4933.533333333334,,,,1201.5333333333333,7273.466666666666,3037.8333333333335,,,,,,,,2660.9,1587.4666666666667,2684.9666666666667,3649.866666666667,1350.6666666666667,,,,,,10885.433333333332,20741.133333333335,19977.1
2021-03-22,4251.633333333333,7103.2,7257.433333333333,2372.0666666666666,2125.3,5771.4,10262.166666666666,6794.466666666666,2177.5,2876.3333333333335,4737.966666666666,5471.9,,,,,,,2195.9,2853.7,3538.8,5621.366666666667,1625.8333333333333,,,,,,897.9666666666667,8656.666666666666,3633.133333333333,3856.0666666666666,1557.9,3093.1,4988.533333333334,,,,1211.5333333333333,7347.866666666667,3072.133333333333,,,,,,,,2690.4,1602.4,2720.4333333333334,3696.3,1369.9666666666667,,,,,,10997.166666666666,20974.166666666668,20188.866666666665
2021-03-23,4323.466666666666,7222.233333333334,7350.9,2399.6,2146.4666666666667,5831.266666666666,10380.1,6844.5,2197.4666666666667,2902.2,4785.833333333333,5534.266666666666,,,,,,,2227.0,2888.9666666666667,3564.4333333333334,5684.1,1638.4666666666667,,,,,,908.9666666666667,8755.333333333334,3704.0,3896.1666666666665,1582.9333333333334,3129.3,5057.7,,,,1224.3333333333333,7433.033333333334,3106.233333333333,,,,,,,,2723.133333333333,1618.2333333333333,2756.5666666666666,3746.6666666666665,1386.7,,,,,,11103.8,21207.3,20410.3
2021-03-24,4388.433333333333,7338.066666666667,7453.5,2428.5,2160.6666666666665,5896.6,10492.0,6890.033333333334,2219.133333333333,2924.7,4839.933333333333,5585.866666666667,,,,,,,2259.0333333333333,2921.4,3583.9333333333334,5738.366666666667,1648.8333333333333,,,,,,914.5333333333333,8840.133333333333,3773.1,3932.5666666666666,1601.5666666666666,3161.4,5122.666666666667,,,,1234.4333333333334,7506.333333333333,3136.8,,,,,,,,2755.6666666666665,1635.4333333333334,2781.233333333333,3783.233333333333,1403.1333333333334,,,,,,11195.0,21434.466666666667,20599.9
2021-03-25,4464.8,7458.833333333333,7546.6,2454.266666666667,2181.3333333333335,5955.833333333333,10615.166666666666,6940.466666666666,2234.5333333333333,2949.866666666667,4885.033333333334,5641.833333333333,,,,,,,2281.866666666667,2951.2,3603.133333333333,5801.466666666666,1644.2,,,,,,924.5333333333333,8912.266666666666,3843.2,3967.6,1621.8666666666666,3193.866666666667,5189.133333333333,,,,1246.3666666666666,7579.933333333333,3166.0,,,,,,,,2788.1,1654.2666666666667,2808.4333333333334,3825.866666666667,1421.6,,,,,,11286.8,21681.766666666666,20785.2
2021-03-26,4536.133333333333,7566.333333333333,7655.666666666667,2478.1,2206.633333333333,6004.833333333333,10745.966666666667,6982.433333333333,2248.7,2974.9666666666667,4918.033333333334,5691.633333333333,,,,,,,2300.6666666666665,2975.766666666667,3629.2,5850.6,1651.2,,,,,,930.7333333333333,8985.9,3904.1,4002.9333333333334,1638.3333333333333,3225.5333333333333,5255.8,,,,1255.6333333333334,7635.466666666666,3193.5666666666666,,,,,,,,2823.366666666667,1671.5666666666666,2838.6,3855.766666666667,1435.9333333333334,,,,,,11370.933333333332,21912.333333333332,20975.7
2021-03-29,4609.466666666666,7707.766666666666,7736.5,2502.0333333333333,2234.4666666666667,6071.833333333333,10887.666666666666,7030.133333333333,2266.5333333333333,2999.7,4963.9,5749.9,,,,,,,2315.3,3004.766666666667,3650.5333333333333,5902.4,1665.9666666666667,,,,,,943.3666666666667,9076.666666666666,3968.5666666666666,4050.633333333333,1750.7,3327.3333333333335,5181.766666666666,,,,1270.6,7756.8,3230.4,,,,,,,,2847.0333333333333,1687.4333333333334,2884.3,3907.133333333333,1447.5333333333333,,,,,,11495.9,22178.566666666666,21219.9
